1,0,bgfile
2,0,
3,0,
4,0,
5,0,
6,0,
7,0,
8,0,
9,0,
10,0,
11,0,
12,0,
13,0,
14,0,
15,0,
16,0,
17,0,
18,0,
19,0,
20,0,
21,0,
22,0,
23,0,
24,0,
25,0,
26,0,
27,0,
28,0,
29,0,
30,0,
31,0,
32,0,
33,0,
34,0,
35,0,
36,0,
37,0,
38,0,
39,0,
40,0,
41,0,
42,0,
43,0,
44,0,
45,0,
46,0,
47,0,
48,0,
49,0,
50,0,
51,0,
52,0,
53,1,
54,0,
55,0,
56,1,
57,3,
58,9,
59,68,
60,404,
61,1358,
62,2378,
63,3188,
64,4048,
65,4939,
66,5411,
67,5820,
68,6425,
69,6843,
70,7063,
71,7067,
72,6843,
73,6715,
74,6528,
75,6355,
76,6253,
77,6178,
78,5965,
79,5826,
80,5808,
81,5656,
82,5390,
83,5149,
84,5007,
85,4779,
86,4803,
87,4600,
88,4610,
89,4316,
90,4355,
91,4186,
92,4166,
93,4200,
94,4118,
95,3984,
96,4009,
97,3940,
98,3882,
99,3817,
100,3782,
101,3840,
102,3769,
103,3861,
104,3890,
105,3906,
106,4044,
107,4189,
108,4237,
109,4171,
110,4166,
111,4060,
112,3885,
113,3694,
114,3518,
115,3277,
116,3294,
117,3072,
118,3085,
119,2999,
120,3046,
121,3125,
122,3122,
123,3276,
124,3098,
125,3171,
126,3139,
127,2904,
128,3004,
129,2971,
130,2921,
131,2787,
132,2765,
133,2686,
134,2593,
135,2621,
136,2530,
137,2491,
138,2368,
139,2514,
140,2460,
141,2482,
142,2453,
143,2411,
144,2322,
145,2501,
146,2348,
147,2290,
148,2409,
149,2278,
150,2292,
151,2310,
152,2273,
153,2294,
154,2239,
155,2200,
156,2172,
157,2208,
158,2232,
159,2253,
160,2135,
161,2104,
162,2131,
163,2159,
164,2115,
165,2029,
166,2031,
167,2101,
168,2044,
169,1994,
170,1959,
171,2013,
172,1979,
173,2048,
174,1917,
175,1975,
176,1947,
177,1968,
178,1913,
179,2026,
180,1947,
181,1868,
182,1864,
183,2018,
184,1993,
185,1929,
186,1916,
187,1990,
188,1941,
189,1961,
190,1856,
191,1912,
192,1858,
193,1856,
194,1799,
195,1820,
196,1740,
197,1669,
198,1741,
199,1676,
200,1660,
201,1562,
202,1662,
203,1596,
204,1546,
205,1465,
206,1496,
207,1536,
208,1579,
209,1562,
210,1485,
211,1459,
212,1442,
213,1509,
214,1501,
215,1479,
216,1482,
217,1489,
218,1557,
219,1449,
220,1410,
221,1551,
222,1494,
223,1430,
224,1505,
225,1493,
226,1371,
227,1447,
228,1452,
229,1377,
230,1335,
231,1371,
232,1342,
233,1288,
234,1256,
235,1206,
236,1175,
237,1174,
238,1245,
239,1208,
240,1168,
241,1168,
242,1110,
243,1109,
244,1054,
245,1079,
246,979,
247,1039,
248,1007,
249,963,
250,909,
251,886,
252,935,
253,920,
254,827,
255,900,
256,848,
257,905,
258,789,
259,801,
260,816,
261,831,
262,772,
263,788,
264,798,
265,785,
266,860,
267,770,
268,829,
269,752,
270,882,
271,866,
272,874,
273,924,
274,999,
275,995,
276,1053,
277,1153,
278,1201,
279,1299,
280,1373,
281,1472,
282,1485,
283,1648,
284,1665,
285,1695,
286,1686,
287,1694,Cs137
288,1683,
289,1477,
290,1538,
291,1355,
292,1196,
293,1074,
294,1023,
295,888,
296,827,
297,751,
298,681,
299,626,
300,602,
301,545,
302,532,
303,500,
304,474,
305,464,
306,481,
307,462,
308,486,
309,479,
310,463,
311,476,
312,433,
313,383,
314,421,
315,416,
316,411,
317,366,
318,379,
319,319,
320,350,
321,358,
322,373,
323,385,
324,365,
325,342,
326,323,
327,299,
328,378,
329,310,
330,335,
331,329,
332,361,
333,346,
334,343,
335,367,
336,379,
337,386,
338,402,
339,354,
340,381,
341,408,
342,411,
343,347,
344,385,
345,364,
346,363,
347,380,
348,387,
349,317,
350,327,
351,316,
352,330,
353,313,
354,323,
355,268,
356,276,
357,261,
358,265,
359,277,
360,254,
361,257,
362,247,
363,248,
364,234,
365,279,
366,220,
367,213,
368,247,
369,202,
370,200,
371,251,
372,210,
373,229,
374,214,
375,200,
376,185,
377,177,
378,205,
379,230,
380,209,
381,234,
382,177,
383,213,
384,197,
385,222,
386,193,
387,212,
388,200,
389,215,
390,193,
391,183,
392,221,
393,177,
394,206,
395,188,
396,207,
397,220,
398,219,
399,216,
400,239,
401,239,
402,258,
403,223,
404,246,
405,231,
406,236,
407,296,
408,268,
409,252,
410,300,
411,276,
412,264,
413,286,
414,255,
415,256,
416,240,
417,248,
418,238,
419,217,
420,249,
