1,0,channel,peak cts,energy
403,3030,,,
404,2994,,,
405,2952,,,
406,2968,,,
407,2920,,,
408,2853,,,
409,2925,,,
410,2899,,,
411,2746,,,
412,2808,,,
413,2722,,,
414,2789,,,
415,2672,,,
416,2690,,,
417,2676,,,
418,2726,,,
419,2613,,,
420,2613,,,
421,2722,,,
422,2532,,,
423,2636,,,
424,2617,,,
425,2582,,,
426,2512,,,
427,2609,,,
428,2581,,,
429,2529,,,
430,2574,,,
431,2500,,,
432,2533,,,
433,2466,,,
434,2437,,,
435,2537,,,
436,2502,,,
437,2457,,,
438,2437,,,
439,2503,,,
440,2476,,,
441,2454,,,
442,2435,,,
443,2448,,,
444,2386,,,
445,2374,,,
446,2374,,,
447,2330,,,
448,2284,,,
449,2350,,,
450,2307,,,
451,2312,,,
452,2225,,,
453,2253,,,
454,2212,,,
455,2216,,,
456,2203,,,
457,2171,,,
458,2214,,,
459,2257,,,
460,2225,,,
461,2172,,,
462,2248,,,
463,2273,,,
464,2302,,,
465,2184,,,
466,2350,,,
467,2359,,,
468,2475,,,
469,2700,,,
470,2680,,,
471,2796,,,
472,2955,,,
473,3198,,,
474,3252,,,
475,3510,,,
476,3817,,,
477,3931,,,
478,4135,,,
479,4425,,,
480,4687,,,
481,5047,,,
482,5308,,,
483,5404,,,
484,5827,,,
485,5975,,,
486,6429,,,
487,6584,,,
488,6725,,,
489,6882,,,
490,7029,,,
491,7168,,,
492,7192,,,
493,7241,,,
494,7109,,,
495,7342,co-60,,
496,7122,,,
497,7108,,,
498,6854,,,
499,6678,,,
500,6497,,,
501,6121,,,
502,5860,,,
503,5729,,,
504,5313,,,
505,5082,,,
506,4664,,,
507,4312,,,
508,4117,,,
509,3674,,,
510,3566,,,
511,3135,,,
512,2936,,,
513,2744,,,
514,2558,,,
515,2246,,,
516,2100,,,
517,1994,,,
518,1798,,,
519,1650,,,
520,1555,,,
521,1485,,,
522,1408,,,
523,1380,,,
524,1243,,,
525,1383,,,
526,1343,,,
527,1299,,,
528,1346,,,
529,1448,,,
530,1471,,,
531,1505,,,
532,1686,,,
533,1704,,,
534,1868,,,
535,1972,,,
536,2139,,,
537,2236,,,
538,2365,,,
539,2510,,,
540,2818,,,
541,2858,,,
542,3173,,,
543,3372,,,
544,3493,,,
545,3773,,,
546,4069,,,
547,4255,,,
548,4322,,,
549,4712,,,
550,4859,,,
551,5134,,,
552,5237,,,
553,5321,,,
554,5477,,,
555,5579,,,
556,5570,,,
557,5671,co-60,,
558,5644,,,
559,5648,,,
560,5511,,,
561,5437,,,
562,5352,,,
563,5181,,,
564,5083,,,
565,4927,,,
566,4671,,,
567,4523,,,
568,4357,,,
569,4101,,,
570,3971,,,
571,3658,,,
572,3484,,,
573,3244,,,
574,2964,,,
575,2698,,,
576,2564,,,
577,2285,,,
578,2035,,,
579,1894,,,
580,1677,,,
581,1450,,,
582,1416,,,
583,1248,,,
584,1118,,,
585,985,,,
586,889,,,
587,766,,,
588,744,,,
589,650,,,
590,594,,,
591,513,,,
592,512,,,
593,453,,,
594,428,,,
595,368,,,
596,369,,,
597,338,,,
598,291,,,
599,304,,,
600,276,,,
601,249,,,
602,244,,,
603,232,,,
604,262,,,
605,244,,,
606,216,,,
607,236,,,
608,196,,,
609,211,,,
610,210,,,
611,210,,,
612,199,,,
613,204,,,
614,192,,,
615,176,,,
616,233,,,
617,156,,,
618,188,,,
619,176,,,
620,177,,,
621,187,,,
622,168,,,
623,190,,,
624,176,,,
625,162,,,
626,179,,,
627,171,,,
628,181,,,
629,163,,,
630,165,,,
631,162,,,
632,173,,,
633,173,,,
634,155,,,
635,155,,,
636,192,,,
637,162,,,
638,155,,,
639,161,,,
640,161,,,
641,141,,,
642,143,,,
643,137,,,
644,146,,,
645,160,,,
646,143,,,
647,130,,,
