1,0,calib file
2,0,
3,0,
4,0,
5,0,
6,0,
7,0,
8,0,
9,0,
10,0,
11,0,
12,0,
13,0,
14,0,
15,0,
16,0,
17,0,
18,0,
19,0,
20,0,
21,0,
22,0,
23,0,
24,0,
25,0,
26,0,
27,0,
28,0,
29,0,
30,0,
31,0,
32,0,
33,0,
34,0,
35,0,
36,0,
37,0,
38,0,
39,0,
40,0,
41,0,
42,0,
43,5,
44,21,
45,40,
46,31,
47,67,
48,81,
49,107,
50,158,
51,189,
52,239,
53,285,
54,353,
55,410,
56,472,
57,561,
58,616,
59,750,
60,1108,
61,1784,
62,2579,
63,3168,
64,4069,
65,4793,
66,5244,
67,5708,
68,6087,
69,6467,
70,6558,
71,6606,
72,6487,
73,6378,
74,6178,
75,6039,
76,5959,
77,5792,
78,5733,
79,5644,
80,5437,
81,5369,
82,5430,
83,5227,
84,5170,
85,5030,
86,4974,
87,4906,
88,4908,
89,4895,
90,4868,
91,4870,
92,4850,
93,4650,
94,4715,
95,4436,
96,4589,
97,4310,
98,4105,
99,3844,
100,3632,
101,3480,
102,3312,
103,3058,
104,3012,
105,2735,
106,2738,
107,2603,
108,2606,
109,2385,
110,2419,
111,2395,
112,2385,
113,2298,
114,2271,
115,2200,
116,2168,
117,2221,
118,2228,
119,2217,
120,2267,
121,2307,
122,2363,
123,2468,
124,2433,
125,2665,
126,2767,
127,3091,
128,3648,
129,4206,
130,5077,
131,6365,
132,7642,
133,9421,
134,10999,
135,13005,
136,14303,
137,15034,
138,15577,
139,14768,
140,13615,
141,11784,
142,9857,
143,8074,
144,6135,
145,4751,
146,3508,
147,2795,
148,2277,
149,1922,
150,1758,
151,1689,
152,1549,
153,1507,
154,1525,
155,1584,
156,1528,
157,1543,
158,1553,
159,1535,
160,1631,
161,1560,
162,1526,
163,1516,
164,1498,
165,1552,
166,1552,
167,1583,
168,1548,
169,1660,
170,1599,
171,1678,
172,1692,
173,1662,
174,1670,
175,1776,
176,1622,
177,1688,
178,1690,
179,1671,
180,1694,
181,1621,
182,1617,
183,1692,
184,1539,
185,1579,
186,1565,
187,1556,
188,1407,
189,1384,
190,1397,
191,1412,
192,1316,
193,1243,
194,1271,
195,1199,
196,1181,
197,1138,
198,1179,
199,1200,
200,1171,
201,1157,
202,1123,
203,1113,
204,1075,
205,1129,
206,1172,
207,1066,
208,1097,
209,1015,
210,1067,
211,1067,
212,1058,
213,989,
214,944,
215,1025,
216,1021,
217,940,
218,1022,
219,995,
220,1114,
221,1081,
222,1171,
223,1309,
224,1427,
225,1692,
226,1927,
227,2150,
228,2398,
229,2713,
230,2846,
231,3138,
232,3191,
233,3140,
234,3212,
235,3161,
236,2825,
237,2607,
238,2351,
239,2055,
240,1850,
241,1491,
242,1302,
243,1026,
244,863,
245,824,
246,631,
247,617,
248,582,
249,592,
250,672,
251,775,
252,907,
253,978,
254,1165,
255,1313,
256,1500,
257,1718,
258,1955,
259,2147,
260,2278,
261,2397,
262,2500,
263,2605,
264,2375,
265,2364,
266,2226,
267,1992,
268,1922,
269,1656,
270,1378,
271,1126,
272,931,
273,766,
274,588,
275,471,
276,394,
277,325,
278,224,
279,214,
280,177,
281,151,
282,134,
283,111,
284,109,
285,97,
286,83,
287,82,Cs137
288,68,
289,86,
290,82,
291,80,
292,88,
293,105,
294,85,
295,75,
296,77,
297,65,
298,68,
299,78,
300,56,
301,78,
302,77,
303,71,
304,75,
305,54,
306,72,
307,62,
308,68,
309,78,
310,66,
311,63,
312,67,
313,51,
314,51,
315,52,
316,66,
317,64,
318,61,
319,72,
320,56,
321,59,
322,63,
323,54,
324,50,
325,53,
326,33,
327,46,
328,54,
329,45,
330,46,
331,55,
332,50,
333,49,
334,50,
335,41,
336,44,
337,51,
338,49,
339,42,
340,36,
341,39,
342,39,
343,36,
344,36,
345,36,
346,39,
347,54,
348,53,
349,42,
350,47,
351,34,
352,40,
353,40,
354,42,
355,43,
356,31,
357,36,
358,41,
359,38,
360,40,
361,36,
362,45,
363,35,
364,30,
365,37,
366,42,
367,35,
368,30,
369,29,
370,24,
371,31,
372,24,
373,23,
374,24,
375,23,
376,29,
377,27,
378,26,
379,44,
380,30,
381,27,
382,20,
383,22,
384,34,
385,29,
386,29,
387,26,
388,26,
389,28,
390,21,
391,26,
392,24,
393,22,
394,31,
395,20,
396,14,
397,25,
398,20,
399,21,
400,19,
401,18,
402,16,
403,24,
404,21,
405,7,
406,15,
407,10,
408,13,
409,12,
410,16,
411,13,
412,7,
413,16,
414,12,
415,18,
416,17,
417,17,
418,9,
419,19,
420,12,
421,8,
422,11,
423,9,
424,17,
425,9,
426,12,
427,8,
428,8,
429,13,
430,16,
431,13,
432,17,
433,14,
434,11,
435,9,
436,8,
437,16,
438,13,
439,10,
440,14,
441,6,
442,12,
443,9,
444,15,
445,9,
446,10,
447,9,
448,10,
449,9,
450,9,
451,2,
452,11,
453,2,
454,9,
455,10,
456,10,
457,7,
458,5,
459,3,
460,6,
461,8,
462,5,
463,10,
464,5,
465,4,
466,5,
467,6,
468,3,
469,5,
470,3,
471,6,
472,6,
473,5,
474,4,
475,5,
476,8,
477,7,
478,16,
479,4,
480,8,
481,11,
482,8,
483,13,
484,11,
485,9,
486,9,
487,7,
488,13,
489,8,
490,17,
491,13,
492,12,
493,7,
494,14,
495,9,co-60
496,13,
497,4,
498,9,
499,4,
500,3,
501,9,
502,6,
503,4,
504,5,
505,4,
506,1,
507,1,
508,2,
509,1,
510,3,
511,3,
512,1,
513,1,
514,4,
515,1,
516,1,
517,3,
518,1,
519,1,
520,3,
521,0,
522,1,
523,1,
524,2,
525,2,
526,2,
527,1,
528,2,
529,1,
530,0,
531,3,
532,0,
533,1,
534,2,
535,1,
536,1,
537,0,
538,0,
539,0,
540,1,
541,1,
542,0,
543,0,
544,1,
545,0,
546,2,
547,0,
548,0,
549,0,
550,0,
551,1,
552,1,
553,0,
554,1,
555,1,
556,0,
557,0,co-60
558,0,
559,0,
560,0,
561,0,
562,0,
563,0,
564,0,
565,0,
566,0,
567,2,
568,0,
569,0,
570,1,
571,3,
572,0,
573,0,
574,0,
575,0,
576,0,
577,0,
578,0,
579,0,
580,0,
581,0,
582,0,
583,0,
584,0,
585,0,
586,0,
587,0,
588,1,
589,0,
590,0,
591,0,
592,1,
593,0,
594,0,
595,0,
596,1,
597,2,
598,1,
599,0,
600,0,
601,0,
602,0,
603,0,
604,0,
605,0,
606,1,
607,0,
608,1,
609,0,
610,0,
611,0,
612,0,
613,0,
614,0,
615,0,
616,0,
617,0,
618,0,
619,0,
620,0,
621,0,
622,0,
623,0,
624,0,
625,0,
626,0,
